#{"t_start": 1764679826.621898, "env_id": "None"}
r,l,t
-38.065935,6,0.936409
19.506485,25,1.162388
-23.293846,11,1.38077
-20.690812,12,1.547184
9.239142,21,1.738691
-5.455757,19,1.892376
-18.25103,15,2.133922
-35.357384,7,2.298846
8.937292,24,2.497143
-36.625399,7,2.620615
-21.65853,13,2.80157
-40.826187,5,2.92392
-27.642864,11,3.049365
-16.391911,14,3.267886
31.064344,26,3.585497
-3.234009,19,3.779372
-6.428216,18,4.016522
-1.136969,21,4.220842
-5.984484,19,4.452892
-37.468239,7,4.551803
-36.205555,7,4.663386
-34.335139,8,4.795744
-16.130068,15,5.002961
-37.002408,7,5.134286
-15.99504,13,5.331001
-26.32476,10,5.453577
-40.912076,5,5.557959
-13.306064,16,5.737367
-18.877929,13,5.874564
-6.607234,17,6.024967
-14.941876,14,6.188607
-13.774974,14,6.407191
-8.20635,18,6.593547
-36.358218,7,6.706206
-17.765234,14,6.844335
-4.147661,20,7.119656
-35.96565,7,7.285782
13.962638,25,7.652809
-11.602531,15,7.880634
-30.504684,9,8.067825
-31.067786,9,8.290384
-27.67497,10,8.434183
-23.070331,12,8.63432
-37.558657,6,8.788485
-38.580849,6,8.885343
-40.631202,5,8.990694
-39.209313,6,9.080995
-29.165396,10,9.181988
66.849915,40,9.606216
-33.93959,8,9.718649
-29.978209,9,9.893187
-28.504871,11,10.083184
-24.175047,12,10.239147
-11.8495,16,10.386011
-7.805696,18,10.602682
-31.6257,9,10.721677
-21.201995,13,10.865298
-36.687984,7,10.980514
18.500947,23,11.337666
34.401998,35,11.542859
-27.104031,12,11.761494
-5.660564,19,12.021694
-21.027835,13,12.26486
1.18838,20,12.585366
-30.536597,9,12.771361
8.738328,23,12.992088
-40.656814,5,13.127189
-34.542701,8,13.256844
-2.611553,21,13.401412
-39.698748,5,13.516291
7.487154,21,13.792722
-32.942392,9,13.90607
-41.784427,5,14.026025
-39.251378,6,14.150882
-25.463537,11,14.315379
-30.862476,8,14.45195
-36.971354,7,14.591245
-30.301748,10,14.799222
-0.975342,17,14.965698
-18.983251,13,15.15034
-39.110157,6,15.259074
-33.820453,8,15.401757
1.167101,19,15.576785
-16.007311,13,15.740351
-21.115759,13,15.955498
-8.900701,17,16.2115
-26.1868,10,16.38413
-0.178541,20,16.678733
-30.2622,10,16.793397
-37.345458,6,16.943453
-35.411537,8,17.122383
1.807697,19,17.313401
-35.831872,7,17.448783
-39.562928,6,17.575339
-36.83047,7,17.660777
-5.105011,17,17.879659
-23.49176,12,18.014776
-20.909555,14,18.159417
-29.315397,9,18.314986
-17.269337,13,18.465068
9.923621,22,18.757702
-42.693146,4,18.8723
23.55564,26,19.239712
-31.111028,9,19.429796
-32.615877,8,19.614125
-42.953835,4,19.736886
-27.52022,11,19.900794
-23.490249,12,20.095516
-27.947875,12,20.317809
-31.761295,9,20.430769
-6.70255,18,20.702152
-3.045491,18,20.885558
7.067157,20,21.045104
-41.442257,5,21.17713
-32.104547,9,21.343007
-35.793132,7,21.473805
-26.633126,11,21.611368
-15.562103,15,21.792099
-34.412659,7,21.900827
-5.678511,18,22.071574
-1.150542,19,22.310075
-22.788965,13,22.465236
-9.207586,17,22.648339
-35.175647,7,22.775397
-28.54497,10,22.893556
-23.602236,11,23.091014
-25.784242,10,23.241509
-34.099927,7,23.401256
6.347333,19,23.649493
-28.269252,11,23.934174
-30.049804,10,24.043581
-36.309467,7,24.154016
-14.143243,16,24.417767
-30.275411,9,24.555775
5.879041,22,24.739157
-35.169493,7,24.842863
-22.204499,14,25.069581
-30.986504,10,25.225808
-15.012316,15,25.459335
-25.466462,10,25.574958
-23.686614,12,25.805988
2.890799,21,26.03881
-21.900547,13,26.161335
-39.246021,6,26.296002
-40.585029,5,26.402439
-30.865696,9,26.533262
-9.027218,18,26.67135
-18.825512,15,26.933544
-35.276938,7,27.100067
-16.518492,14,27.359895
-17.387245,16,27.61988
13.259271,25,27.909066
-32.337731,9,28.091767
-10.340245,14,28.248108
-34.279976,7,28.402802
-7.163569,17,28.606544
-32.403508,9,28.780172
-33.794184,7,28.939665
-38.134498,6,29.058333
-6.469266,17,29.313895
-26.657706,11,29.448483
-32.432195,8,29.906579
-38.088997,6,30.014571
-22.052939,13,30.262509
-33.762192,8,30.424126
-10.381413,17,30.691963
-20.989362,12,30.941133
-38.945137,6,31.037887
-3.758333,18,31.238288
-31.829866,9,31.402705
-31.936322,9,31.543099
-39.56438,6,31.643018
31.733696,29,31.914814
-40.936103,5,32.05684
-22.269948,14,32.187915
-21.00716,13,32.405288
-4.342676,19,32.649805
-13.199711,16,32.832735
-29.489213,10,33.001644
-13.365635,15,33.251821
16.37838,28,33.569337
-30.829845,10,33.773578
-29.009754,9,33.940388
-10.395696,15,34.15417
-23.253048,11,34.280156
-31.249903,8,34.443423
-42.932063,4,34.546733
33.684791,26,34.933639
-26.605319,10,35.085314
-32.349848,9,35.240405
-21.51777,13,35.474072
-21.021387,11,35.611776
-24.979152,11,35.72672
-41.115226,5,35.818028
-35.942319,7,35.993753
-27.959546,11,36.128274
-36.73426,7,36.304102
-7.744669,18,36.609479
-32.802734,8,36.775584
-25.454936,12,36.888917
-6.306187,18,37.06628
-25.465201,11,37.21384
-22.137317,13,37.414677
-31.21956,9,37.573115
2.667611,20,37.844596
-7.529676,18,38.128508
-17.320961,13,38.355624
-30.614271,10,38.508051
-17.930371,16,38.823431
-24.152995,11,38.96606
-29.288772,9,39.097673
-32.926434,8,39.247651
-14.197063,15,39.457699
-31.8014,8,39.592048
-19.327425,13,39.736468
-5.347887,18,40.040315
-38.528097,6,40.193575
